,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
115,Honda Amaze VX,2013-05-01,Comprehensive,Petrol,5,56000,First Owner,Manual,18.0,1198.0,867.0,3.25
116,MG Hector Plus 1.5 Turbo Sharp Pro CVT,2023-05-01,Comprehensive,Petrol,6,12000,First Owner,Automatic,12.34,1451.0,141.0,21.0
117,Honda City i VTEC,2014-07-01,Comprehensive,Petrol,5,51734,First Owner,Manual,17.8,1497.0,1173.0,5.72
118,Maruti Swift,2018-06-01,Third Party insurance,Petrol,5,22000,First Owner,Manual,22.0,1197.0,8180.0,5.75
119,Hyundai Creta 1.6 SX,2018-08-01,Comprehensive,Diesel,5,45084,First Owner,Manual,20.5,1582.0,1262.0,9.22
120,Honda Amaze S,2016-09-01,Comprehensive,Petrol,5,29000,First Owner,Manual,17.8,1198.0,867.0,4.8
121,Hyundai Venue SX,2021-01-01,Comprehensive,Petrol,5,16763,First Owner,Manual,18.27,998.0,11835.0,9.69
122,Tata Altroz XM plus,2022-05-01,Third Party insurance,Petrol,5,6000,First Owner,Manual,19.33,1199.0,8683.0,6.95
123,Mahindra XUV500,2015-08-01,Comprehensive,Diesel,7,86000,First Owner,Manual,15.1,2179.0,140.0,5.45
124,Honda Jazz VX,2018-07-01,Comprehensive,Petrol,5,24000,First Owner,Automatic,17.1,1199.0,8850.0,6.55
125,Hyundai Venue,2021-03-01,Comprehensive,Petrol,5,9000,First Owner,Manual,20.36,1197.0,8180.0,7.75
126,Kia Carens Prestige Plus Turbo DCT,2022-03-01,Comprehensive,Petrol,7,14900,First Owner,Automatic,16.5,1353.0,13805.0,16.5
127,Hyundai i20 N-Line N8 DCT,2022-02-01,Comprehensive,Petrol,5,17172,Second Owner,Automatic,20.25,998.0,11841.0,10.33
128,Mercedes-Benz GLE 300d,2020-10-01,Zero Dep,Diesel,5,33000,First Owner,Automatic,1950.0,24138.0,500.0,78.0
129,Renault KWID,2016-04-01,Third Party insurance,Petrol,5,38000,Second Owner,Manual,25.17,799.0,533.0,1.85
130,Tata Altroz XZ Plus,2022-09-01,Comprehensive,Petrol,5,11501,First Owner,Manual,19.33,1199.0,8683.0,8.24
131,Mercedes-Benz GLE 300d,2022-05-01,Zero Dep,Diesel,5,43703,First Owner,Automatic,1950.0,24138.0,500.0,82.9
132,Toyota Fortuner Legender 4x2,2021-12-01,Comprehensive,Diesel,7,29800,First Owner,Automatic,2755.0,20115.0,500.0,44.0
133,Maruti Baleno,2020-10-01,Comprehensive,Petrol,5,22051,First Owner,Manual,21.01,1197.0,8180.0,6.98
134,Maruti Baleno,2021-11-01,Comprehensive,Petrol,5,32965,First Owner,Manual,1197.0,8180.0,113.0,5.75
135,Hyundai i10 Magna,2014-12-01,Comprehensive,Petrol,5,96593,First Owner,Manual,1086.0,6805.0,9904.0,2.73
136,BMW 2 Series 220i M Sport Pro,2022-03-01,Comprehensive,Petrol,5,15000,First Owner,Automatic,14.82,1998.0,18908.0,42.0
137,Tata Tiago XZ Plus Dual Tone Roof,2020-12-01,Comprehensive,Petrol,5,27138,First Owner,Manual,19.01,1199.0,8482.0,5.92
138,Maruti Baleno 1.2,2022-07-01,Comprehensive,Petrol,5,15000,First Owner,Manual,21.4,1197.0,831.0,7.25
139,Mahindra Scorpio N Z8L AT,2023-06-01,Comprehensive,Petrol,7,9000,First Owner,Automatic,1997.0,200.0,380.0,23.45
